bias_mV,T2Rabi_ns,T2Rabi_err_ns,f_damped_MHz,f_damped_err_MHz,Gamma1_Mrad_s,Gamma2_Mrad_s,decay_A_Mrad_s,EP_halfdifference_Mrad_s,Omega_coherent_Mrad_s,f_coherent_MHz,EP_ratio_Omega_over_D,Tcrit_ns,lambda_pair_real_Mrad_s,lambda_pair_imag_Mrad_s
-260.0,8.729958404505995,1.1572797990353432,25.597113435912718,1.0791163363794356,7.2342782382342925,221.86188778332362,114.54808301077895,107.31380477254467,193.3468235771995,30.772102703427915,1.80169572765596,4.9855145422431555,-114.54808301077895,160.83140704673596
-240.0,10.396162345854114,0.9539417659427084,29.483468263237807,0.6466088732074095,7.2342782382342925,185.14440280435062,96.18934052129245,88.95506228305817,205.50085317027342,32.706476591650805,2.3101647944032955,4.70068104585761,-96.18934052129245,185.25009459627142
-220.0,13.087458053148342,1.1278991410286183,30.223967762257644,0.4830399700257576,7.2342782382342925,145.58378558118528,76.40903190970978,69.1747536714755,202.10941655273166,32.16671268978618,2.921722244398426,4.7768336228063655,-76.40903190970978,189.90279016848672
-200.0,15.068508003350646,1.058686285720118,31.95754002563885,0.3692582729464743,7.2342782382342925,125.49286366295978,66.36357095059704,59.12929271236274,209.3202424296644,33.314351271874976,3.5400430620388557,4.617774761366303,-66.36357095059704,200.79514594269756
-180.0,17.210992484963377,1.1499500643001053,34.1233306736208,0.315567136343448,7.2342782382342925,108.9705252759923,58.1024017571133,50.868123518879,220.35494642634302,35.07057895850227,4.3318866744624716,4.393881131559754,-58.1024017571133,214.4032099205247
-160.0,20.804675670882343,1.0800640405745858,35.81880579479994,0.2138075812923325,7.2342782382342925,88.89795817048538,48.06611820435984,40.83183996612554,228.73025541801482,36.40355078444883,5.601762144634469,4.237925015700837,-48.06611820435984,225.05619429060602
-140.0,19.580569569492518,1.0480768924384958,38.67148069746255,0.2334096177769354,7.2342782382342925,94.90779648037334,51.071037359303816,43.83675912106952,246.90277519523212,39.295797135428195,5.632322738853242,3.934884687178456,-51.071037359303816,242.98007932517567
-120.0,23.13358567151835,1.9401724593475724,43.95647469565211,0.2964213593930216,7.2342782382342925,79.22011013020456,43.22719418421943,35.99291594598513,278.52211757391757,44.32817177231103,7.738248215062598,3.499484227318473,-43.22719418421943,276.18667596313264
-100.0,19.374426686862705,2.188995840414348,54.89259750370167,0.4766797642784847,7.2342782382342925,95.9945827920716,51.61443051515295,44.38015227691865,347.7439542227542,55.345169244873105,7.83557370540186,2.8170741430177646,-51.61443051515295,344.9003621081812
-80.0,22.62693667976582,1.78858070346612,60.984621014324325,0.3097367284113345,7.2342782382342925,81.1559456928957,44.195111965565,36.9608337273307,384.9561450795432,61.26767336301011,10.415245173295084,2.5497817910503557,-44.195111965565,383.177674721118
-60.0,23.38138582007659,1.6237997752911688,82.57086288297997,0.2793338978127245,7.2342782382342925,78.30385091246325,42.76906457534877,35.534786337114475,520.0235529212134,82.76431897162095,14.63421076991456,1.8966053056072876,-42.76906457534877,518.80803246748
-40.0,17.776122871268328,2.5595485237397866,125.65302723939996,0.7601967521592209,7.2342782382342925,105.27619519197663,56.25523671510546,49.020958476871165,791.0216718340415,125.89500916520278,16.136397500413167,1.2527310318319056,-56.25523671510546,789.5012545532343
