bias_mV,ratio_p16,ratio_med,ratio_p84,fcoh_p16_MHz,fcoh_med_MHz,fcoh_p84_MHz,Tcrit_p16_ns,Tcrit_med_ns,Tcrit_p84_ns,Gamma2_p16_Mrad_s,Gamma2_med_Mrad_s,Gamma2_p84_Mrad_s,p_underdamped
-260.0,1.6221818430670303,1.7990763219586965,1.9897623842615813,29.377020803904944,30.86798463117776,32.66488803533601,4.705358204251992,4.970164894986437,5.212153949079574,195.28619258092837,221.9508164370252,256.87960419730575,1.0
-240.0,2.123048126715879,2.311363156223188,2.505057973514282,31.941922278523837,32.749134172229375,33.6379540471915,4.57433559779647,4.694456679705979,4.808683387803167,168.99622776086508,184.99916187296003,204.58867684676025,1.0
-220.0,2.678903046757343,2.9218082928704843,3.1756597090379994,31.62326901444426,32.19033970758129,32.79530307450257,4.6874642914762825,4.772684020807996,4.855936515255513,133.40169489662,145.53490761478253,159.83060658930822,1.0
-200.0,3.284654543526652,3.5412833887221393,3.8025234144438644,32.925779999713505,33.33435432626976,33.747043282332925,4.559437057469143,4.614626844056271,4.6704346136375,116.80322546172944,125.49954458230437,135.43075282194414,1.0
-180.0,4.018675548800724,4.330898579694793,4.6497898130787405,34.74735093436677,35.085627942273106,35.42809033165195,4.349921922206701,4.391830361421741,4.433350237249099,101.73755436812628,109.02641650596249,117.36444302294484,1.0
-160.0,5.269750384703843,5.602252635890725,5.941371789836338,36.19039648982457,36.410352303790916,36.631929887668434,4.211213028396907,4.236853303946171,4.262658426442689,84.17471510983482,88.90660785933758,94.1671096368259,1.0
-140.0,5.295402772796792,5.636988337293577,5.982906401565925,39.06257204428272,39.30194658008118,39.543485671061156,3.909995243282419,3.9338343979244934,3.9579688400144257,89.71706327311536,94.87416959210933,100.61549765459286,1.0
-120.0,6.987464014632462,7.739705207227212,8.535319029229115,44.03516639895889,44.33608348931541,44.637254678689736,3.475152541714025,3.498572375601648,3.5223530196578925,72.46807535974585,79.19957468130198,87.06711769308663,1.0
-100.0,6.848151702593899,7.83633048053,8.879804742558152,54.87593548264585,55.36469237362347,55.85576031202018,2.791555970535039,2.8159600818883863,2.840603484637801,85.49635305780528,95.98213139377927,109.00408858824855,1.0
-80.0,9.45577119551905,10.426695951182637,11.421919167601358,60.964233963703954,61.27283261371193,61.58680491071448,2.536416708719446,2.5493963059075746,2.5623023156423477,74.65827441610087,81.07815152337821,88.69668619916335,1.0
-60.0,13.430925579504942,14.642656411560992,15.880276354276576,82.48832312868277,82.76763894568057,83.04596230459445,1.8900247402656984,1.89647445269891,1.9029493488300444,72.7476034749468,78.26633771113475,84.68115641338503,1.0
-40.0,13.54324743929047,16.152245758710688,18.913035753237672,125.15317204888862,125.91086885196594,126.68295257150817,1.2449549090757952,1.252537011619443,1.2600678009765711,90.91305562807347,105.21477856355165,124.12005230630811,1.0
