N,gamma_t_over_J,gap_over_J,sensor_weight
2,0.0,0.12499999999999994,0.5000000000000002
3,0.0,0.06048603188038176,0.24194412752152736
4,0.0,0.03233574395054636,0.12934297580218607
5,0.0,0.01899202651128995,0.07596810604516119
6,0.0,0.01201663002739417,0.04806652010957736
7,0.0,0.00805611348351543,0.03222445393406123
8,0.0,0.005652821227484494,0.022611284909937704
9,0.0,0.004114283718817058,0.016457134875268287
10,0.0,0.003085408710312018,0.012341634841249208
11,0.0,0.002372067579465509,0.009488270317863813
12,0.0,0.001862281358853588,0.007449125435414838
13,0.0,0.0014884641078986233,0.005953856431594979
14,0.0,0.001208217291185032,0.004832869164739169
15,0.0,0.000994043630169193,0.0039761745206780595
16,0.0,0.0008275869657933625,0.0033103478631747673
17,0.0,0.0006962790051526456,0.0027851160206130692
18,0.0,0.000591319637921724,0.002365278551686072
19,0.0,0.0005064233327073397,0.002025693330830643
20,0.0,0.0004370199451287915,0.0017480797805168795
21,0.0,0.0003797328829440454,0.0015189315317774353
22,0.0,0.00033203095773904836,0.0013281238309554788
23,0.0,0.00029199154752405357,0.0011679661900980303
24,0.0,0.0002581366064657232,0.0010325464258638514
25,0.0,0.0002293172676548343,0.0009172690706181645
26,0.0,0.0002046314304557928,0.0008185257218253954
28,0.0,0.00016494364432945188,0.0006597745773206586
29,0.0,0.00014890937060063614,0.0005956374824065456
30,0.0,0.00013488719619569878,0.0005395487847836182
32,0.0,0.00011170976031978296,0.00044683904128071
34,0.0,9.355117340564352e-05,0.00037420469362501577
35,0.0,8.593505130127799e-05,0.00034374020520576323
37,0.0,7.301316344447147e-05,0.0002920526537766226
39,0.0,6.255699626278588e-05,0.0002502279850498228
41,0.0,5.400548066691879e-05,0.0002160219226693724
43,0.0,4.694401551966709e-05,0.0001877760620811047
45,0.0,4.106173738641929e-05,0.00016424694954853632
48,0.0,3.394797986685956e-05,0.00013579191946959035
50,0.0,3.009572499387495e-05,0.00012038289998094707
53,0.0,2.533834553677464e-05,0.00010135338214910226
55,0.0,2.271115943630648e-05,9.084463774929368e-05
58,0.0,1.941028706395702e-05,7.764114825745683e-05
61,0.0,1.6719272024290355e-05,6.687708809875778e-05
64,0.0,1.4503540335275567e-05,5.8014161338450965e-05
67,0.0,1.2662634680017531e-05,5.0650538721539036e-05
71,0.0,1.0662423464351218e-05,4.2649693859187186e-05
74,0.0,9.430503096208298e-06,3.772201238579022e-05
78,0.0,8.066275250850907e-06,3.2265101003459845e-05
82,0.0,6.952980187824309e-06,2.78119207525185e-05
86,0.0,6.035478818575253e-06,2.4141915276203727e-05
91,0.0,5.102140091203255e-06,2.0408560366376414e-05
95,0.0,4.489422196885869e-06,1.7957688789191323e-05
100,0.0,3.854006924708386e-06,1.541602769986552e-05
2,0.001,0.12549999999999994,0.4999999999999998
3,0.001,0.06126057982530464,0.2420103607441965
4,0.001,0.03322377778706811,0.1294127621970615
5,0.001,0.019929992490350656,0.07602406622630845
6,0.001,0.01297908381781454,0.04810877035266816
7,0.001,0.00903178490183539,0.0322561642644002
8,0.001,0.006636199480200389,0.0226353392779139
9,0.001,0.005102441028995486,0.016475666783114386
10,0.001,0.004076680421798942,0.012356146272284837
11,0.001,0.0033654530771523665,0.009499811554828668
12,0.001,0.002857150805222205,0.0074584369687639715
13,0.001,0.0024844054177839414,0.005961467541302342
14,0.001,0.002204951846398129,0.0048391640417589634
15,0.001,0.0019913776637462246,0.003981436400587754
16,0.001,0.0018253823846397905,0.0033147886933337606
17,0.001,0.001694435264664136,0.002788896645237348
18,0.001,0.0015897621372249482,0.0023685226394583015
19,0.001,0.0015050957842582813,0.002028497125535059
20,0.001,0.0014358792374554498,0.0017505190259289548
21,0.001,0.0013787455480420707,0.0015210664580009238
22,0.001,0.0013311706952663092,0.0013300027922350753
23,0.001,0.0012912374595954734,0.001169628351789615
24,0.001,0.0012574719192914444,0.001034023772256159
