case,N,gamma_s,gamma_t,gap,participation,residue_abs,rigidity,residue_over_participation,asymptotic_participation
benchmark,2,0.25,0.0,0.12499999999999994,0.5000000000000002,0.5163977794943224,0.9682458365518544,1.0327955589886444,0.5848654459904805
benchmark,3,0.25,0.0,0.06048603188038176,0.2419441275215274,0.2505504956605784,0.9656501651838276,1.0355717174341634,0.24674011002723395
benchmark,4,0.25,0.0,0.03233574395054636,0.12934297580218607,0.13311179242696602,0.9716868313763578,1.0291381623269893,0.1263309363339438
benchmark,5,0.25,0.0,0.01899202651128995,0.07596810604516119,0.07770167082733917,0.9776894786982107,1.0228196393516433,0.07310818074881006
benchmark,6,0.25,0.0,0.01201663002739417,0.04806652010957736,0.04893009206044233,0.9823509027982573,1.01796618413183,0.04603897096718068
benchmark,7,0.25,0.0,0.00805611348351543,0.03222445393406123,0.0326878833117248,0.9858225944689011,1.014381294982123,0.030842513753404244
benchmark,8,0.25,0.0,0.005652821227484494,0.022611284909937697,0.022876289930872595,0.9884157342936428,1.0117200336907182,0.02166168318483261
benchmark,9,0.25,0.0,0.004114283718817058,0.01645713487526828,0.01661696064786862,0.9903817686045473,1.0097116401981079,0.015791367041742974
benchmark,10,0.25,0.0,0.003085408710312018,0.012341634841249205,0.012442433126143654,0.9918988284789207,1.0081673365150583,0.01186428778493086
benchmark,11,0.25,0.0,0.002372067579465509,0.009488270317863813,0.009554291886533738,0.9930898522408577,1.0069582301576743,0.009138522593601258
benchmark,12,0.25,0.0,0.001862281358853588,0.00744912543541484,0.007493788466916926,0.9940399930289919,1.0059957416329368,0.007187695512855244
benchmark,13,0.25,0.0,0.0014884641078986233,0.005953856431594983,0.005984923961720076,0.9948090351149317,1.0052180516077325,0.005754871370897585
benchmark,14,0.25,0.0,0.001208217291185032,0.004832869164739168,0.004855009679508774,0.9954396558954244,1.004581236117697,0.004678923567923844
benchmark,15,0.25,0.0,0.000994043630169193,0.003976174520678061,0.003992292016222344,0.995962846535576,1.0040535181392225,0.0038553142191755305
benchmark,16,0.25,0.0,0.0008275869657933625,0.0033103478631747677,0.003322303215871961,0.9964014865831401,1.003611509482187,0.0032142004969963308
benchmark,17,0.25,0.0,0.0006962790051526456,0.0027851160206130692,0.002794133441003361,0.9967727309447847,1.003237718042463,0.002707710398104076
benchmark,18,0.25,0.0,0.000591319637921724,0.002365278551686072,0.0023721824842643413,0.9970896283805878,1.0029188666059428,0.0023022841582946455
benchmark,19,0.25,0.0,0.0005064233327073397,0.002025693330830643,0.0020310507620812748,0.9973622366556993,1.0026447395413178,0.0019739208802178718
benchmark,20,0.25,0.0,0.0004370199451287915,0.001748079780516879,0.0017522880700593273,0.99759840313111,1.0024073784213694,0.0017051470728585436
benchmark,21,0.25,0.0,0.0003797328829440454,0.0015189315317774353,0.001522273958998576,0.9978043195172704,1.0022005121042088,0.0014830359731163574
benchmark,22,0.25,0.0,0.00033203095773904836,0.0013281238309554788,0.001330805508091045,0.997984921824217,1.0020191469146644,0.0012978850202796887
benchmark,23,0.25,0.0,0.00029199154752405357,0.0011679661900980303,0.0011701377520828948,0.9981441826135439,1.001859267848055,0.0011423153242001573
benchmark,24,0.25,0.0,0.0002581366064657232,0.0010325464258638514,0.00103431994608219,0.998285327257725,1.001717617894861,0.0010106474906715502
benchmark,25,0.25,0.0,0.0002293172676548343,0.0009172690706181643,0.0009187289347009609,0.9984109958578025,1.001591533094878,0.0008984619391069056
benchmark,26,0.25,0.0,0.0002046314304557928,0.0008185257218253959,0.0008197361722837527,0.9985233658105083,1.0014788178625071,0.0008022845624012077
benchmark,28,0.25,0.0,0.00016494364432945188,0.0006597745773206585,0.0006606233813318207,0.998715146882251,1.0012865060891087,0.0006474790701440392
benchmark,29,0.25,0.0,0.00014890937060063614,0.0005956374824065456,0.0005963546934822819,0.9987973414419724,1.0012041066872397,0.0005848654459904805
benchmark,30,0.25,0.0,0.00013488719619569878,0.0005395487847836183,0.0005401581345236112,0.9988719049088646,1.0011293691269034,0.0005300717344749412
benchmark,32,0.25,0.0,0.00011170976031978296,0.00044683904128071,0.0004472855821259074,0.9990016650143849,1.000999332654366,0.00043941806610855034
benchmark,34,0.25,0.0,9.355117340564352e-05,0.00037420469362501566,0.0003745379268351464,0.999110281799906,1.0008905105034964,0.0003683117677374454
benchmark,35,0.25,0.0,8.593505130127799e-05,0.00034374020520576323,0.00034402985536142295,0.9991580668039539,1.0008426426448611,0.0003384637997630095
benchmark,37,0.25,0.0,7.301316344447147e-05,0.0002920526537766224,0.00029227396882382776,0.9992427822152762,1.0007577915979995,0.0002877855197868307
benchmark,39,0.25,0.0,6.255699626278588e-05,0.0002502279850498228,0.0002503994245757787,0.9993153357830338,1.0006851333032225,0.00024674011002723397
benchmark,41,0.25,0.0,5.400548066691879e-05,0.00021602192266937233,0.00021615638338386443,0.9993779470567227,1.0006224401339947,0.00021314338410731795
benchmark,43,0.25,0.0,4.694401551966709e-05,0.0001877760620811047,0.00018788271336768833,0.9994323517865374,1.0005679706209707,0.00018537949663954468
benchmark,45,0.25,0.0,4.106173738641929e-05,0.00016424694954853632,0.00016433241504578845,0.999479923074043,1.0005203475467097,0.00016223562753496108
benchmark,48,0.25,0.0,3.394797986685956e-05,0.0001357919194695903,0.0001358543025225554,0.9995408091476914,1.0004594018054151,0.00013422440515213025
benchmark,50,0.25,0.0,3.009572499387495e-05,0.00012038289998094707,0.00012043400625571882,0.9995756491346536,1.0004245310154503,0.00011904446285171595
benchmark,53,0.25,0.0,2.533834553677464e-05,0.00010135338214910228,0.00010139181756035724,0.9996209219621484,1.0003792217925043,0.00010028557030015097
benchmark,55,0.25,0.0,2.271115943630648e-05,9.084463774929371e-05,9.0876699423213e-05,0.9996471958805417,1.0003529286341344,8.991986517027477e-05
benchmark,58,0.25,0.0,1.941028706395702e-05,7.764114825745686e-05,7.76658640377622e-05,0.9996817677803296,1.000318333523654,7.68889080273201e-05
benchmark,61,0.25,0.0,1.6719272024290355e-05,6.687708809875781e-05,6.689638786324253e-05,0.9997114976592734,1.0002885855983474,6.625896680936765e-05
benchmark,64,0.25,0.0,1.4503540335275567e-05,5.8014161338450965e-05,5.802940862278155e-05,0.9997372490140352,1.00026282004219,5.7501564102841956e-05
benchmark,67,0.25,0.0,1.2662634680017531e-05,5.065053872153905e-05,5.0662712913427874e-05,0.9997597011453049,1.0002403566121134,5.022188276556767e-05
benchmark,71,0.25,0.0,1.0662423464351218e-05,4.2649693859187186e-05,4.265884745556735e-05,0.9997854232609147,1.0002146227921445,4.230797497037619e-05
benchmark,74,0.25,0.0,9.430503096208298e-06,3.772201238579022e-05,3.772947910964674e-05,0.9998020984113026,1.0001979407614885,3.743138854339075e-05
benchmark,78,0.25,0.0,8.066275250850907e-06,3.226510100345986e-05,3.2270862311710367e-05,0.9998214702726298,1.0001785616059249,3.202863676452162e-05
